Image URL, Title, Price
"https://m.media-amazon.com/images/I/91XoqNxZmpL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Premium Polypropylene Home Decor Doormats - Pack of 2 (Grey, 58 x 38 cm), Rectangular", || ,"₹239"
"https://m.media-amazon.com/images/I/81itqPdpmjL._AC_UL320_.jpg", || ,"amazon basics Modern Classy Happy Owl Resin Art Figurine | Beautiful Home Decor (Brown)", || ,"₹468"
"https://m.media-amazon.com/images/I/81+UCV3xW0L._AC_UL320_.jpg", || ,"Amazon Brand - Umi Return Gift Radha Krishna Idol Showpiece Statue with Peacock Design Diya for Puja and Home Decor (8 x 6 Inches), Metal, Gold (1)", || ,"₹426"
"https://m.media-amazon.com/images/I/71-2hYvtoqL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Girls Playing Swing Under Tree PVC Vinyl Wall Sticker | Easy Application | Serene Home Décor (95 cm x 110 cm)", || ,"₹119"
"https://m.media-amazon.com/images/I/612Aq9XmhmL._AC_UL320_.jpg", || ,"Briij Rani Set of Five Framed Painting for Wall Decoration, 3D Paintings for Home Decoration, Paintings for Living Room, Bedroom Big Size (75 X 43 CM) 08", || ,"₹599"
"https://m.media-amazon.com/images/I/810g8RazVJL._AC_UL320_.jpg", || ,"FRESH FROM LOOM 12 Feet Long Curtains Set of 2 Window Parda | Cotton Floral Room Darkening Curtains for Living Room Bedroom with Eyelets Ring Parde Screens (12ft, Leaf Aqua, 2pc)", || ,"₹1,470"
"https://m.media-amazon.com/images/I/815mAk1pGuL._AC_UL320_.jpg", || ,"Tolas India Tensegrity New Year Gift for Home and Office Decor, Made with Solid Wood, Anti-Gravity, Light Weight, Table Top, Vintage Brown Surface Gold Finish Chain", || ,"₹1,599"
"https://m.media-amazon.com/images/I/61RQv41otWL._AC_UL320_.jpg", || ,"Jaipur Bliss 01 Set of Five Framed Painting for Wall Decoration, 3D Paintings for Home Decoration, scenery for Living Room, Bedroom Big Size (75 X 43 CM) 03", || ,"₹599"
"https://m.media-amazon.com/images/I/51v11pbakNL._AC_UL320_.jpg", || ,"Razzai 500 GSM Winter Comforter Premium Collection Quilted Comforter (92"" x 106"" Inches/233cm x 269cm) - King Size Comforter|Chocolate Brown|Microfibre|Lightweight", || ,"₹3,030"
"https://m.media-amazon.com/images/I/51v11pbakNL._AC_UL320_.jpg", || ,"Razzai 500 GSM Winter Comforter Premium Collection Quilted Comforter (92"" x 106"" Inches/233cm x 269cm) - King Size Comforter|Chocolate Brown|Microfibre|Lightweight", || ,"₹3,030"
"https://m.media-amazon.com/images/I/61Z6bB1tvnL._AC_UL320_.jpg", || ,"Ishro Home Anti Skid & Multipurpose RubIhr/Bathroom Mat/Shower Mat/Carpet/Rugs/Rainmat/Swimming Pool Mat, 2x6ft Grey", || ,"₹1,189"
"https://m.media-amazon.com/images/I/311ucSIWsqL._AC_UL320_.jpg", || ,"SVH Bathroom Mat Water Absorbing Mat for Bathroom Quick Dry Rubber Backed Anti-Slip Floor Mat Non Slip Mat for Home, Kitchen (40 x 60 cm) (1)multi, Rectangular", || ,"₹269"
"https://m.media-amazon.com/images/I/911BSOKLKIL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Floral Bliss Microfibre Printed Comforter, Single, 200 GSM, Grey", || ,"₹979"
"https://m.media-amazon.com/images/I/81YZFnROorL._AC_UL320_.jpg", || ,"Story@Home Bedsheet for double bed | 186TC | Beige | Floral | 1 Piece cotton bedsheets for double bed with 2 Pillow covers 250x225cm Perfect for Home Decor & Gifting | Cotton Bedsheets | Light-weight.", || ,"₹699"
